Y	X	lane	road	fence	bus	large.truck	D.Urban	D.agri	D.forest	D.grass	D.wetland	D.bare	D.water	A.Urban	A.agri	A.Grass	A.wetland	A.bare	A.water	adult	sub-adult	juvenile	non-identification	PA
0.25253612	0.594489451	0.301466455	0.664734644	0.362722149	0.589082704	0.44816219	0.601232735	0.424182238	0.391890574	0.357964402	0.543473577	0.594972115	0.469061285	0.230542591	0.430318683	0.510971335	0.217379049	0.219446812	0.20457949	0	0	0	1	1
0.251241232	0.539295646	0.317231155	0.667597533	0.602913841	0.58493966	0.458542917	0.610247028	0.434040057	0.383868963	0.3618444	0.546985007	0.60456606	0.478996666	0.227162742	0.444899045	0.537598407	0.221002389	0.21461677	0.176770921	0	0	0	0	0
0.205663473	0.475619014	0.32411706	0.67260282	0.64467585	0.590194245	0.460570732	0.620571171	0.442886367	0.375510217	0.356336226	0.551251255	0.625078438	0.484083102	0.216790139	0.439421536	0.564508561	0.220897816	0.196324189	0.165326499	1	0	0	0	1
0.191746447	0.40405256	0.331905592	0.679505783	0.657687832	0.595881161	0.476279044	0.635205179	0.456402086	0.372866036	0.346364197	0.575792552	0.630866599	0.506178322	0.218021375	0.446413623	0.61610926	0.228036442	0.203065438	0.151334854	1	1	0	0	1.414213562
0.158857477	0.336803311	0.321403218	0.682663453	0.448448804	0.598463508	0.460526186	0.637354599	0.454374505	0.37934113	0.3421931	0.594937713	0.648347689	0.519003004	0.204454943	0.462541671	0.629183835	0.244208159	0.186583578	0.14605433	2.061552813	0.707106781	0	0.707106781	2.291287847
0.146933818	0.301160259	0.322097642	0.684927841	0.450394836	0.60427593	0.457105007	0.638007501	0.453501686	0.376298804	0.339882906	0.607019645	0.65399611	0.524925292	0.194830317	0.473450197	0.630592602	0.267851416	0.176284125	0.141849791	3.464101615	1	0	1	3.741657387
0.136220979	0.27475632	0.318894103	0.681405206	0.188688873	0.590731909	0.438160582	0.64179313	0.433565834	0.396756939	0.334575792	0.608166178	0.660271256	0.519887731	0.200755197	0.486754396	0.633124386	0.232365643	0.165907511	0.154611279	2.236067977	1	0	1	2.645751311
0.177730743	0.238966707	0.293660433	0.637326642	0.081210728	0.571392028	0.38050528	0.639494612	0.409770837	0.426371227	0.327763952	0.585122455	0.638905792	0.49667817	0.215798652	0.522695549	0.623366151	0.224133999	0.184580372	0.170987231	3.605551275	1	0	1.414213562	4
0.149395651	0.196863535	0.31949843	0.652173679	0.029651971	0.595160216	0.392089427	0.639290889	0.404563854	0.439538431	0.33010816	0.576255174	0.644041553	0.499275293	0.242735911	0.606881208	0.620282513	0.224554509	0.174949308	0.169584654	2.828427125	0	0	1	3
0.434187384	0.81724029	0.344076443	0.642395251	0.155667477	0.588488938	0.477134152	0.636963633	0.461298351	0.416550168	0.358579069	0.635225978	0.574020723	0.519612085	0.235527839	0.434178134	0.497550793	0.212744578	0.264348589	0.190121151	3	0	0	0	3
0.446062629	0.769092271	0.342264748	0.652238557	0.237020875	0.581825944	0.461681815	0.630220323	0.451190871	0.414875452	0.367377841	0.635328251	0.557112717	0.515811458	0.235708678	0.457667543	0.49273293	0.221511293	0.258617691	0.186491354	1.414213562	0	0	0	1.414213562
0.408947919	0.768179563	0.338124429	0.666533644	0.3776995	0.596339648	0.49117047	0.628832124	0.454515443	0.415395043	0.355365301	0.621811762	0.576454386	0.502170617	0.235747066	0.442269258	0.51646214	0.216513143	0.257597558	0.19531374	1	0	0	1	1.414213562
0.40370473	0.698319108	0.311664697	0.666210312	0.248455959	0.575564531	0.457180685	0.613809208	0.421262587	0.422085613	0.361142801	0.597248266	0.570340296	0.495369807	0.237332979	0.491805926	0.499623114	0.224065026	0.255350635	0.175423009	0	0	0	0	0
0.348658175	0.670154507	0.308521799	0.665800288	0.255979397	0.579092743	0.454182305	0.609860519	0.421587078	0.413741154	0.364458372	0.571783634	0.57689523	0.47886179	0.235263957	0.45877883	0.501439253	0.225045885	0.248175316	0.198012006	0	0	0	0	0
0.360224363	0.617325346	0.302176687	0.656696608	0.319670341	0.553940856	0.423980149	0.613289188	0.412023565	0.412479495	0.368936228	0.552286574	0.569168889	0.465985387	0.233868174	0.481200851	0.501861169	0.22798866	0.255219233	0.178010375	1.095445115	0.447213595	0	0.894427191	1.483239697
0.304095902	0.582357435	0.306071678	0.664643026	0.449265786	0.571244509	0.441650939	0.608641104	0.42132343	0.396130998	0.370199546	0.546926201	0.587565383	0.468449438	0.232079608	0.4571453	0.517518623	0.221571887	0.234185993	0.181528693	1	0	0	0	1
0.304967428	0.536315285	0.322730217	0.668279369	0.665043492	0.57106976	0.457292269	0.613004781	0.442496075	0.386231008	0.367560563	0.557080287	0.591685586	0.48059644	0.231696875	0.462598046	0.54668261	0.219217732	0.23814155	0.162880564	1.414213562	0	0	0	1.414213562
0.233851746	0.486307883	0.334361609	0.672712533	0.75364859	0.584955962	0.473262198	0.624772591	0.45153353	0.372964535	0.35820158	0.552831786	0.625524901	0.483861103	0.222343031	0.44459856	0.567926079	0.214589137	0.209011621	0.157557209	2.236067977	1	0	2	3.16227766
0.241202003	0.407868336	0.328533436	0.679303549	0.731539348	0.581769371	0.457198489	0.629362873	0.45422813	0.375450756	0.355083071	0.571594409	0.616483416	0.500078987	0.219983617	0.450247894	0.612608395	0.229503339	0.217159757	0.154261967	0	0	0	0	0
